segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z;Etiquetas
25.02;0.46970468759536743;0.45564693212509155;-0.12497643381357193;0.44088274240493774;0.49260997772216797;-0.019965214654803276;0.44775599241256714;0.4169776737689972;-0.050735000520944595;0.4063633382320404;0.5035957098007202;0.004376514814794064;0.41231751441955566;0.41125476360321045;-0.0343099869787693;0.3828014135360718;0.47636598348617554;0.00367890321649611;0.3822144865989685;0.43552514910697937;-0.0037718561943620443;0.32927021384239197;0.46540769934654236;0.006455324590206146;0.3239297568798065;0.44118595123291016;-0.027682563289999962;0.4762251526117325;0.4606792479753494;-0.12284014597535134;0.37295331060886383;0.5279163867235184;-0.06935593672096729;0.37228308618068695;0.4068940430879593;-0.09362958185374737;0.28010672330856323;0.45766369501749676;0.09282300993800163;0.2634157637755076;0.43849823872248334;0.008090133468310038;girando
25.05;0.46995973587036133;0.45361900329589844;-0.14174602925777435;0.44124141335487366;0.4922824501991272;-0.029966523870825768;0.44739431142807007;0.41537994146347046;-0.0658397376537323;0.40656763315200806;0.5027304291725159;-0.000886565656401217;0.41148823499679565;0.40922677516937256;-0.04148651659488678;0.38263559341430664;0.47609689831733704;0.008145962841808796;0.38219764828681946;0.4344147741794586;-0.008252349682152271;0.3287093937397003;0.4655839800834656;0.024580463767051697;0.3241915702819824;0.4409908354282379;-0.0407487116754055;0.47641777992248535;0.4585895210504532;-0.14022570326924325;0.3731716200709343;0.5264443159103394;-0.07932142913341522;0.37146101146936417;0.40533386170864105;-0.09847849234938622;0.27946580449740094;0.4574895997842153;0.10805156081914902;0.26223727067311603;0.4386490186055501;-0.01632546012600263;girando
25.08;0.46986377239227295;0.45219022035598755;-0.1334657073020935;0.4419853389263153;0.4898754358291626;-0.025470448657870293;0.44720539450645447;0.4133601784706116;-0.06555583328008652;0.4076385200023651;0.5016407370567322;0.0015574861317873001;0.4112643003463745;0.4071877896785736;-0.04370463639497757;0.3816935420036316;0.4741981327533722;0.0088412556797266;0.38160043954849243;0.43208208680152893;-0.008980968035757542;0.32819753885269165;0.46562716364860535;0.025149738416075706;0.3237479329109192;0.43918225169181824;-0.042795803397893906;0.4763671576976776;0.4569507837295532;-0.13160478472709655;0.37399157136678696;0.524850070476532;-0.07903137244284153;0.3710608184337616;0.4039377421140671;-0.10038504563272;0.27875112493832904;0.457984854777654;0.10566756625970204;0.261923889319102;0.4387241105238597;-0.016379038182397682;girando
25.12;0.4697686731815338;0.4510055184364319;-0.1381569653749466;0.44258812069892883;0.48806196451187134;-0.03009772300720215;0.4471698999404907;0.41194459795951843;-0.06621777266263962;0.40805041790008545;0.500729501247406;-0.00152903376147151;0.41125646233558655;0.40542072057724;-0.04412776604294777;0.38131436705589294;0.47295647859573364;0.010008434765040874;0.38156601786613464;0.43121087551116943;-0.010081188753247261;0.3273325562477112;0.46571820974349976;0.020756730809807777;0.32347509264945984;0.4379483461380005;-0.04122346267104149;0.47630568146705626;0.4556706637144089;-0.1369662694633007;0.37403056770563126;0.5218218564987183;-0.08070826902985573;0.3707745000720024;0.40226825326681137;-0.09901391714811325;0.2763656973838806;0.45767921209335327;0.09112324317296346;0.2614743808905284;0.4383127987384796;-0.011436131161948046;girando
25.15;0.46970251202583313;0.44925162196159363;-0.1379646360874176;0.44293293356895447;0.486465722322464;-0.03163307160139084;0.44714266061782837;0.4098126292228699;-0.06593578308820724;0.4080946147441864;0.49837571382522583;-0.002491781720891595;0.41123145818710327;0.40361708402633667;-0.043110284954309464;0.3811390697956085;0.4723133444786072;0.01151625532656908;0.3815215528011322;0.43035653233528137;-0.01156159769743681;0.3271498382091522;0.4659746587276459;0.01149203535169363;0.3235308527946472;0.43577858805656433;-0.026620222255587578;0.4762538880109787;0.454025599360466;-0.13701208010315896;0.37387626618146896;0.5181625336408615;-0.08052697964012623;0.370618611574173;0.400555282831192;-0.09653802216053009;0.2755650182565053;0.4572155674298604;0.08256864547729492;0.2618604302406311;0.43762608369191486;0.016317327817281086;girando
25.18;0.4696680009365082;0.4477401375770569;-0.13610610365867615;0.44326454401016235;0.4855588972568512;-0.03221540525555611;0.44714197516441345;0.40809372067451477;-0.06410906463861465;0.4080996513366699;0.4973704218864441;-0.005894395522773266;0.41116252541542053;0.40118569135665894;-0.03956073150038719;0.38062846660614014;0.47128188610076904;0.012270156294107437;0.38121265172958374;0.42878395318984985;-0.012305442243814468;0.32600870728492737;0.46832433342933655;0.005140960216522217;0.3233415186405182;0.433601438999176;-0.02295340597629547;0.4762150228023529;0.4524899035692215;-0.13514131009578706;0.37384138256311417;0.5143938809633255;-0.086540836840868;0.3703000992536545;0.3980942964553833;-0.09303711913526058;0.2756408154964447;0.45713692903518677;0.08146317427357037;0.26234548290570575;0.4368301232655843;0.030345338086287182;girando
25.22;0.4693588316440582;0.446113258600235;-0.13756807148456573;0.443646103143692;0.4839877486228943;-0.0323009230196476;0.4470835328102112;0.4059588313102722;-0.06425155699253082;0.40809544920921326;0.49566835165023804;-0.004629569593816996;0.41036829352378845;0.3985805809497833;-0.04125906899571419;0.379891961812973;0.470468133687973;0.012697679921984673;0.3805563449859619;0.4269767701625824;-0.012747414410114288;0.3260442614555359;0.4707755148410797;0.004236353561282158;0.3225018382072449;0.4324074685573578;-0.02510770782828331;0.476057180762291;0.45085889399051665;-0.13696142435073852;0.37315913289785385;0.510115310549736;-0.08311510644853115;0.36930183321237564;0.39630306512117386;-0.09455529972910881;0.2736646234989166;0.4583119948705037;0.08427660043040912;0.2624722123146057;0.43644919991493225;0.02831474443276723;girando
25.25;0.46913740038871765;0.4441671073436737;-0.143329456448555;0.4436822235584259;0.48209723830223083;-0.03290743753314018;0.44702500104904175;0.4037351906299591;-0.07036805152893066;0.40804779529571533;0.49248993396759033;-0.0030222993809729815;0.4103393256664276;0.39657941460609436;-0.0451357401907444;0.3794037699699402;0.4697128236293793;0.017196618020534515;0.3799348473548889;0.42611217498779297;-0.017252594232559204;0.32572340965270996;0.4744075536727905;0.01045422162860632;0.321588933467865;0.4320286810398102;-0.026605425402522087;0.4758955091238022;0.4491464138031006;-0.1424095593392849;0.37151051312685013;0.5070343613624573;-0.07737122289836407;0.3688294216990471;0.394048772752285;-0.09569095820188522;0.2744437555472056;0.4624656140804291;0.09156429891784985;0.2627189556757609;0.4360933204491933;0.027728350833058357;girando
25.28;0.46877408027648926;0.44237491488456726;-0.14528949558734894;0.4436820149421692;0.4804339110851288;-0.03721344843506813;0.44695889949798584;0.40221384167671204;-0.06958881765604019;0.40801000595092773;0.4902559220790863;-0.004983961116522551;0.4103550910949707;0.3947563171386719;-0.04493016004562378;0.3792484998703003;0.4693686068058014;0.017073150724172592;0.3794489800930023;0.42513754963874817;-0.01712215319275856;0.3254278302192688;0.4765447974205017;0.012390630319714546;0.32105451822280884;0.4315185248851776;-0.024081924930214882;0.47561675906181333;0.4473760545253754;-0.14465104192495346;0.3711575120687485;0.5043503642082214;-0.07756659016013145;0.36892835795879364;0.3915705382823944;-0.09667295217514038;0.27441146969795227;0.4673781593640645;0.0942969024181366;0.263032207886378;0.4357081353664398;0.029341864710052807;girando
25.32;0.468591570854187;0.4406319260597229;-0.1439535915851593;0.443743497133255;0.4792981445789337;-0.036109477281570435;0.4469599723815918;0.40113964676856995;-0.06905047595500946;0.4077542722225189;0.48941197991371155;-0.0039894841611385345;0.4103968143463135;0.39278221130371094;-0.04500548169016838;0.37902259826660156;0.4687062203884125;0.017049986869096756;0.3790726065635681;0.4241284430027008;-0.017098352313041687;0.32555651664733887;0.47807878255844116;0.01423327624797821;0.32080721855163574;0.4313354790210724;-0.022491751238703728;0.4754485160112381;0.4457433968782425;-0.14333646968007088;0.3707447350025177;0.5035611540079117;-0.07616762351244688;0.36895789206027985;0.3899978995323181;-0.09719840250909328;0.27442410588264465;0.4718856116135915;0.08996673549215;0.26343775788942975;0.4360284209251404;0.03255382739007473;girando
