segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z
0.37;0.492397278547287;0.2011195868253708;-0.10216790437698364;0.5276573300361633;0.2535499334335327;-0.008689172565937042;0.46511897444725037;0.25286585092544556;0.01278464961796999;0.5661811828613281;0.2982662618160248;-0.0011627451749518514;0.4267813563346863;0.30198991298675537;0.036391835659742355;0.5135141015052795;0.42356741428375244;-0.008712274953722954;0.4768999516963959;0.4258977472782135;0.008795207366347313;0.5083225965499878;0.5512989163398743;-0.007000625599175692;0.47498810291290283;0.5562642812728882;0.009578282944858074;0.4971077531576157;0.1835641473531723;-0.10214127264916897;0.6091242134571075;0.32661016285419464;-0.09305396676063538;0.3771582767367363;0.32648662477731705;-0.044365289621055126;0.5024612247943878;0.6907868385314941;0.05283152785462638;0.4775629937648773;0.6940513253211975;0.06623401958495378
0.4;0.4924485683441162;0.2004864513874054;-0.10714205354452133;0.5280790328979492;0.2529134154319763;-0.011172957718372345;0.4651346504688263;0.25188854336738586;0.005980496294796467;0.5687616467475891;0.2940637767314911;-0.0008469918975606561;0.4262973964214325;0.29703855514526367;0.023766497150063515;0.5137359499931335;0.42323607206344604;-0.009255502372980118;0.47715383768081665;0.4258010983467102;0.009330700151622295;0.5083204507827759;0.5519345998764038;-0.006272502709180117;0.47496384382247925;0.5563041567802429;0.012382007203996181;0.49715099334716795;0.182836052775383;-0.10656199604272842;0.6161788105964661;0.3222135975956917;-0.09191666357219219;0.3771301954984665;0.3176768645644188;-0.06689680833369493;0.5023462375005087;0.6917311946551005;0.054744443646389605;0.47744083404541016;0.6941762169202169;0.0691655312354366
0.43;0.4924405515193939;0.19973023235797882;-0.105255126953125;0.528563380241394;0.25227439403533936;-0.010401849634945393;0.46520477533340454;0.25090375542640686;0.007092370186001062;0.5702537894248962;0.29355987906455994;-0.004708188120275736;0.42667168378829956;0.29167377948760986;0.010897311381995678;0.5137457847595215;0.4231199026107788;-0.009494449011981487;0.4771614074707031;0.4258156716823578;0.009557334706187248;0.508211076259613;0.5521339774131775;-0.007331752683967352;0.4749290943145752;0.5569590926170349;0.01256043091416359;0.49717476069927213;0.18193911164999008;-0.10484245866537094;0.6173456758260727;0.32209087163209915;-0.10040470026433468;0.37800299376249313;0.31080683320760727;-0.08835505694150925;0.5022410651048025;0.6921863953272501;0.05850659574692448;0.4774211843808492;0.6942754785219828;0.07415600741902988
0.47;0.49242013692855835;0.19922474026679993;-0.10591044276952744;0.5287870168685913;0.2514421343803406;-0.011012749746441841;0.4652838706970215;0.2500130832195282;0.008440333418548107;0.5712348818778992;0.29355230927467346;-0.005553843453526497;0.42665138840675354;0.288096159696579;0.01751912198960781;0.5137125849723816;0.4230508506298065;-0.00974093098193407;0.47711998224258423;0.4257600009441376;0.009786738082766533;0.508047342300415;0.5523540377616882;-0.008239338174462318;0.4748479723930359;0.5578365325927734;0.011989039368927479;0.4971747100353241;0.18144807517528533;-0.10605530925095082;0.6193604469299316;0.3225698918104172;-0.10309412330389023;0.3779903054237366;0.3050888627767563;-0.08663985505700111;0.5020758310953776;0.692347784837087;0.058654931296284;0.4773465593655904;0.6946553389231364;0.07509334820012252
0.5;0.4923643469810486;0.19836848974227905;-0.11297712475061417;0.5291407108306885;0.2511367201805115;-0.01415052730590105;0.4653782248497009;0.24906690418720245;0.0014690544921904802;0.571550726890564;0.2936953604221344;-0.008324735797941685;0.4271550476551056;0.286266952753067;0.008557829074561596;0.5130652189254761;0.4227946400642395;-0.009697784669697285;0.4765498638153076;0.42512786388397217;0.009754732251167297;0.5074100494384766;0.5523526072502136;-0.008322400040924549;0.47455811500549316;0.5578670501708984;0.010878174565732479;0.4971309542655945;0.18064690381288528;-0.1132107574492693;0.62090964615345;0.32321058213710785;-0.10808674618601799;0.3791564106941223;0.3026639074087143;-0.1004452146589756;0.5020228425661722;0.6924246350924174;0.05853555242841443;0.4772214392820994;0.6947886347770691;0.07360855055352052
0.53;0.49141818284988403;0.19831034541130066;-0.12177620828151703;0.5293519496917725;0.2512238621711731;-0.023804115131497383;0.46542203426361084;0.24852439761161804;-0.00040304590947926044;0.5722648501396179;0.29410284757614136;-0.010943545028567314;0.427709698677063;0.2855308949947357;0.027467358857393265;0.512005627155304;0.4220133423805237;-0.009438722394406796;0.4754420220851898;0.4243030846118927;0.009478079155087471;0.5068857669830322;0.5524166822433472;-0.01126943901181221;0.47395187616348267;0.5578805208206177;0.009899650700390339;0.49644279181957246;0.18057263493537903;-0.1226670678704977;0.6225733608007431;0.32448969036340714;-0.11515668034553528;0.3798512667417526;0.3008798211812973;-0.060354375280439854;0.5018607576688131;0.6925447185834249;0.05744871817781435;0.47700368364651996;0.6948348085085551;0.07311366839955251
0.57;0.4895785450935364;0.19834893941879272;-0.1666213572025299;0.5293439030647278;0.25138047337532043;-0.07321709394454956;0.46542221307754517;0.24813927710056305;-0.03211688622832298;0.5725255012512207;0.2949146628379822;-0.07133177667856216;0.427823543548584;0.2846466898918152;0.02521207556128502;0.510956883430481;0.42054226994514465;-0.01075533963739872;0.4741855561733246;0.42232176661491394;0.010791332460939884;0.506258487701416;0.5524100065231323;-0.014944266527891159;0.47275540232658386;0.5572461485862732;0.011014819145202637;0.4949299395084381;0.18062998354434967;-0.17192412689328193;0.6244661509990692;0.32660020887851715;-0.18278484046459198;0.3801048621535301;0.3000313639640808;-0.07482044864445925;0.5017212629318237;0.6925680041313171;0.04769047535955906;0.47681576013565063;0.6947720845540365;0.07333777441332738
0.6;0.48669299483299255;0.19830584526062012;-0.1612924039363861;0.529240071773529;0.25147387385368347;-0.09094139188528061;0.4654407501220703;0.24778255820274353;-0.02186662331223488;0.5720968842506409;0.2956577241420746;-0.10290452837944031;0.42968955636024475;0.28331953287124634;0.0725981593132019;0.5098698735237122;0.4195508062839508;-0.018109681084752083;0.47286033630371094;0.42051392793655396;0.018193354830145836;0.5056240558624268;0.5514612197875977;-0.01737561821937561;0.47148290276527405;0.555462658405304;0.01851893961429596;0.49255857467651365;0.18062471300363542;-0.16869430840015412;0.625300943851471;0.3288774788379669;-0.2168852649629116;0.3846762403845787;0.2977450117468834;0.055589654482901096;0.501562088727951;0.692148745059967;0.03554830327630043;0.4761096239089966;0.6939210494359335;0.07495187160869439
0.63;0.4843788743019104;0.1982889473438263;-0.12359584122896194;0.5285517573356628;0.2514599859714508;-0.07219240069389343;0.4654307961463928;0.24681785702705383;0.03070933185517788;0.5713532567024231;0.2959621846675873;-0.08294592797756195;0.43362483382225037;0.28261318802833557;0.17039673030376434;0.5086310505867004;0.41928309202194214;-0.025864670053124428;0.4718906581401825;0.4193502962589264;0.025958113372325897;0.5047051906585693;0.5514657497406006;-0.02587907202541828;0.46994996070861816;0.5553919076919556;0.027391325682401657;0.4903529196977615;0.1806384339928627;-0.13357208333909512;0.6240511387586594;0.3301142528653145;-0.1829763688147068;0.39174003154039383;0.29435765743255615;0.22862769290804863;0.5018267730871836;0.6920030315717062;0.029880110795299213;0.4737382729848226;0.6933676600456238;0.08023322994510333
0.67;0.48148012161254883;0.19867688417434692;-0.1082826629281044;0.5268656015396118;0.25152885913848877;-0.0817951112985611;0.4656950831413269;0.24616630375385284;0.05452791601419449;0.5702593922615051;0.2966119349002838;-0.09648405760526657;0.4398592412471771;0.2823319435119629;0.22316774725914001;0.5066484212875366;0.4193536043167114;-0.04144185036420822;0.470816045999527;0.41884517669677734;0.04152677208185196;0.5033436417579651;0.5503384470939636;-0.046855680644512177;0.4685439467430115;0.5527765154838562;0.037892840802669525;0.48715477585792544;0.18109436929225922;-0.12077630013227462;0.6220897138118744;0.33097655326128006;-0.17918313667178154;0.4004882797598839;0.2927544042468071;0.32922155410051346;0.5018272201220194;0.6920645833015442;0.005573525403936704;0.4708222647507985;0.691856861114502;0.08538165936867396
